"","country_name","growth","rgdp60","yearsschool"
"1","India",1.915167927742,765.999816894531,1.45000004768372
"2","Argentina",0.617645084857941,4462.00146484375,4.98999977111816
"3","Japan",4.30475902557373,2953.99951171875,6.71000003814697
"4","Brazil",2.93009662628174,1783.99987792969,2.89000010490417
"5","United States",1.71226489543915,9895.00390625,8.65999984741211
"6","Bangladesh",0.708263099193573,951.999816894531,0.790000021457672
"7","Spain",2.88032674789429,3123.00146484375,3.79999995231628
"8","Colombia",2.2270143032074,1684.00036621094,2.97000002861023
"9","Peru",0.0602059587836266,2019.00024414062,3.01999998092651
"10","Haiti",-0.657934069633484,923.999938964844,0.699999988079071
"11","Australia",1.97514736652374,7782.00244140625,9.02999973297119
"12","Italy",2.93298149108887,4564.00048828125,4.55999994277954
"13","Greece",3.22405004501343,2093,4.36999988555908
"14","France",2.43128085136414,5823.00048828125,4.65000009536743
"15","Zaire",-2.81194448471069,488.999908447266,0.540000021457672
"16","Uruguay",1.02530860900879,3967.99975585938,5.07000017166138
"17","Mexico",1.97394180297852,2836.00024414062,2.41000008583069
"18","Pakistan",2.69816303253174,638,0.629999995231628
"19","Niger",-2.75147795677185,531.999877929688,0.200000002980232
"20","Bolivia",0.355057805776596,1147.99975585938,4.67999982833862
"21","Germany",2.45368814468384,6569.99853515625,7.6399998664856
"22","Canada",2.38598847389221,7257.9970703125,8.06999969482422
"23","United Kingdom",1.96221947669983,6822.9990234375,7.67000007629395
"24","New Zealand",1.1241317987442,7960.0009765625,9.55000019073486
"25","Philippines",1.15874063968658,1133,3.76999998092651
"26","Finland",2.79849433898926,5291.001953125,7.51000022888184
"27","Venezuela",-0.883550763130188,6337.998046875,2.52999997138977
"28","Korea, Republic of",7.1568546295166,904.000061035156,3.23000001907349
"29","Guatemala",0.929230630397797,1659.99975585938,1.41999995708466
"30","Honduras",0.597784757614136,1038.99987792969,1.69000005722046
"31","El Salvador",-0.607556104660034,1426.99987792969,1.70000004768372
"32","Chile",1.44699537754059,2885.00048828125,4.98999977111816
"33","Thailand",4.87669515609741,943,3.45000004768372
"34","Sweden",1.88813424110413,7592.00244140625,7.67000007629395
"35","Senegal",-0.437824070453644,1047.00012207031,1.62000000476837
"36","Trinidad and Tobago",1.12078642845154,5627.001953125,4.30999994277954
"37","Ecuador",2.38809299468994,1460.99963378906,2.95000004768372
"38","Denmark",2.17937016487122,6759.9990234375,10.0699996948242
"39","Switzerland",1.42186534404755,9408.9970703125,6.86999988555908
"40","Austria",2.88918519020081,5143.0009765625,3.65000009536743
"41","Zimbabwe",0.838155508041382,988.999877929688,1.53999996185303
"42","Paraguay",2.38193154335022,1176.99987792969,3.34999990463257
"43","Costa Rica",1.61369657516479,2096.00024414062,3.92000007629395
"44","Portugal",3.64730978012085,1869,1.94000005722046
"45","Togo",0.462775319814682,366.999938964844,0.270000010728836
"46","Iceland",3.01238894462585,4963.99853515625,5.63000011444092
"47","Israel",2.81096935272217,3476.99926757812,6.98999977111816
"48","South Africa",0.392021119594574,2191.00024414062,4.05999994277954
"49","Norway",3.18249368667603,5610.00048828125,5.55999994277954
"50","Sierra Leone",-0.339834213256836,877.999938964844,0.529999971389771
"51","Dominican Republic",2.4987690448761,1194.99975585938,2.38000011444092
"52","Ghana",-0.963162243366241,894,0.689999997615814
"53","Sri Lanka",2.70459842681885,1258.99987792969,3.4300000667572
"54","Taiwan, China",6.62473440170288,1256,3.3199999332428
"55","Panama",2.027188539505,1574.99987792969,4.26000022888184
"56","Papua New Guinea",1.12037110328674,1235.00012207031,1.12999999523163
"57","Kenya",1.96250915527344,659.000061035156,1.20000004768372
"58","Ireland",3.25449395179749,3310.9990234375,6.44999980926514
"59","Jamaica",0.417790174484253,1772.99987792969,2.46000003814697
"60","Netherlands",2.20057725906372,6076.9970703125,5.26999998092651
"61","Cyprus",5.38418436050415,2037.00036621094,4.28999996185303
"62","Malaysia",4.11454391479492,1420.00024414062,2.33999991416931
"63","Belgium",2.65133452415466,5495.001953125,7.46000003814697
"64","Mauritius",3.02417778968811,2861.99926757812,2.44000005722046
"65","Malta",6.6528377532959,1374,5.6399998664856
