State,Age 0-20,Age 21-34,Age 35-54,Age 55+,All Ages,Male,Female
Alabama,8.6,20.8,12.6,15.5,13.7,17.6,10
Alaska,,,,,5.4,5.5,
Arizona,5,12,7.3,6.9,7.4,10.2,4.7
Arkansas,8,20.3,13.8,16.2,13.8,17.3,10.4
California,2.4,6.9,4,4.5,4.2,5.6,2.7
Colorado,3.3,8.8,4.8,7.3,5.8,7.4,4.1
Connecticut,,7.5,4,5.2,4.1,5.4,2.9
Delaware,,13,,,6.9,10,4.1
Florida,3.5,10,6.7,7.2,6.4,8.4,4.4
Georgia,3.9,12.1,8.2,12.1,8.5,11.7,5.5
Hawaii,,,,,4,5.7,
Idaho,4.5,12,8.8,10.9,8.6,10.4,6.9
Illinois,2.5,8.8,3.6,5.6,4.7,6.3,3.2
Indiana,5,12,7.2,9.9,8.1,10.9,5.3
Iowa,4.4,11.7,9.6,10.3,8.7,11.3,6
Kansas,7.5,13.9,10.7,13.1,11,15.1,6.7
Kentucky,6.7,19.7,13.4,13.7,12.9,15.7,10.1
Louisiana,6.9,15.6,10.3,10.5,10.4,13.9,7.1
Maine,6.6,18,7.3,9.1,9.4,13.2,5.8
Maryland,3.3,9.3,4.2,6.1,5.3,7.1,3.7
Massachusetts,1.8,4.7,2.2,3.9,2.9,4.1,1.7
Michigan,3.8,10.9,4.9,7.5,6.2,8.3,4.2
Minnesota,2.9,7.8,4.3,6.5,5.1,6.2,4
Mississippi,8.6,24.6,16.7,17.6,16,22.3,10
Missouri,5.5,15.3,11.6,10.4,10.2,14.2,6.3
Montana,10.6,29.6,17,12.5,16.4,21.9,10.9
Nebraska,7.7,13.6,8.1,9.1,9.2,12.8,5.7
Nevada,3.5,6.2,4.6,8.4,5.4,6.5,4.3
New Hampshire,,,,6.8,5,7.3,2.8
New Jersey,2.1,6.2,2.8,4.7,3.6,5,2.4
New Mexico,6,14.3,13.7,11,11.1,15.1,6.9
New York,1.7,4.1,2.9,4.4,3.1,4.2,2
North Carolina,5.1,12.5,8.7,9.9,8.6,11.5,5.9
North Dakota,11,25.2,27,18.6,20.2,29.3,10.5
Ohio,3.6,9.6,7.6,8,6.9,9.1,4.7
Oklahoma,6,22.7,15.7,15.9,14.3,19.2,9.6
Oregon,2.6,7.9,4.3,7.3,5.1,5.9,4.2
Pennsylvania,4.5,11.1,6.4,7.3,6.8,9.2,4.4
Rhode Island,,,,,4.5,6.3,
South Carolina,6.8,19.8,12.7,11.8,12,17,7.2
South Dakota,9.5,17.9,12.1,10.1,12,15.4,8.5
Tennessee,6.1,16.4,12.3,15,11.7,16.8,6.9
Texas,5.2,14.5,8.9,9.5,9.1,12.2,6
Utah,2.5,6.7,6.8,6.4,5.5,5.9,5
Vermont,,19.2,,,8.4,10.2,6.5
Virginia,3.9,8.9,6.7,9.3,6.8,9.3,4.3
Washington,2.1,5.3,4.2,4.3,3.9,5.2,2.5
West Virginia,5.9,22.6,13.7,13.7,13.1,19.1,7.2
Wisconsin,4.8,10.9,7.4,8,7.4,9.6,5.1
Wyoming,,29.5,14.9,20.7,17.5,21.9,12.9
